Label	Category	Name	A	B	REG	Selectivity	Reaction_Environ	Product_Restrictions			
52	Reduction	DIBAL (e)	lactone	CHO	DIBAL -78 (no moisture or air)	lactone	N/A	N/A			
53	Oxidation	Baeyer-Villiger	ketone	ester	peracid CH2Cl2	stable+	acid	N/A			
54	Oxidation	Baeyer-Villiger	CHO	COOH	peracid CH2Cl2	stable+	acid	N/A			
55	Oxidation	Baeyer-Villiger	cyclic-ketone	lactone	peracid CH2Cl2	stable+	acid	N/A			
56	Oxidation	Baeyer-Villiger	ketone	ester	H2O2 BF3-Et2O	stable+	N/A	N/A			
57	Oxidation	Baeyer-Villiger	CHO	COOH	H2O2 BF3-Et2O	stable+	N/A	N/A			
58	Oxidation	Baeyer-Villiger	cyclic-ketone	lactone	H2O2 BF3-Et2O	stable+	N/A	N/A			
59	Ox/Cleavage	NaIO4	1-2-diol	CHO	NaIO4 CH2Cl2	???	N/A	H2O			
60	Ox/Cleavage	NaIO4	1-2-diol	ketone	NaIO4 CH2Cl2	???	N/A	N/A			
61	Ox/Cleavage	NaIO4	1-2-diol	CHO	NaIO4 MeOH H2O	???	H2O	H2O			
62	Ox/Cleavage	NaIO4	1-2-diol	ketone	NaIO4 MeOH H2O	???	H2O	N/A			
63	Halogenation	Appel	1-OH	X	"CX4,PPh3"	???	N/A	N/A			
64	Halogenation	Appel	2-OH	X	"CX4,PPh3"	???	N/A	N/A			
65	Halogenation	Appel	3-OH	X	"CX4,PPh3"	???	N/A	N/A			
66	X-Conversion	Finkelstein	X	X	MX' acetone	LG	N/A	N/A			
67	Organometallic	Grignard	CHO	3-OH	RMgX	sterics?	base	N/A			
68	Organometallic	Grignard	COCl	3-OH	RMgX	sterics?	base	N/A			
69	Organometallic	Grignard	CO2	COOH	RMgX	???	base	N/A			
70	LG/PG	Mesyl	OH	H	TsCl py; LiEt3BH THF	sterics?	base 	N/A			
71	LG/PG	Tosyl	OH	H	MsCl Et3N DMAP; LiEt3BH THF	sterics?	base	N/A			
72	LG/PG	Triflate	OH	H	Tf2NPh py?	sterics?	base	N/A			
73	LG/PG	Triflate	CHO	OTf	LDA Tf2NPh	sterics?	base	LG			
74	LG/PG	Tosyl	OH	OTs	TsCl py	sterics?	base	LG			
75	LG/PG	Mesyl	OH	OMs	MsCl Et3N DMAP	sterics?	base	LG			
76	Diol	Protection	1-2-diol	acetal	acetone H2SO4 (cat.) CH2Cl2	cis; >1-3	acid	"H2O,acid"			
77	Diol	Protection	1-2-diol	acetal	acetone PPTS CuSO4	cis; >1-3	acid	"H2O,acid"			
78	Diol	Protection	1-2-diol	acetal	Me2C(OMe)2/DMM TsOH	cis; >1-3	acid	"H2O,acid"			
79	Diol	Protection	1-2-diol	acetal	2-methoxypropene TsOH DMF	cis; >1-3	acid	"H2O,acid"			
80	Diol	Protection	1-3-diol	acetal	PhCHO ZnCl2	???	acid	"H2O,acid"			
81	Diol	Protection	1-3-diol	acetal	MeCHO HCl sieve	???	acid	"H2O,acid"			
82	Diol	Protection	1-3-diol	acetal	PhCH(OMe)2 CSA (cat.) CHCl3	???	acid	"H2O,acid"			
